City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
haines junction,60.75,-137.51,5.0,84,100,2.24,CA,1607543277
trabzon,40.92,39.83,55.4,58,20,8.05,TR,1607543278
tuatapere,-46.13,167.68,57.99,91,100,3.36,NZ,1607543278
nikolskoye,59.7,30.79,24.01,73,0,6.71,RU,1607543278
jidong,45.22,131.08,13.17,94,2,3.02,CN,1607543278
teya,60.38,92.63,-23.53,83,90,4.16,RU,1607543278
newport,51.59,-3.0,46.0,87,100,4.0,GB,1607543279
isangel,-19.55,169.27,79.86,81,29,13.27,VU,1607543279
punta arenas,-53.15,-70.92,57.2,44,75,19.46,CL,1607543002
atuona,-9.8,-139.03,78.64,75,0,20.4,PF,1607543004
saint-philippe,-21.36,55.77,75.2,83,75,20.8,RE,1607543000
vaini,-21.2,-175.2,80.6,83,40,10.29,TO,1607543003
kodiak,57.79,-152.41,24.8,85,20,4.7,US,1607543084
grindavik,63.84,-22.43,35.6,80,0,19.46,IS,1607543279
tuktoyaktuk,69.45,-133.04,-11.2,76,75,4.7,CA,1607543001
mazagao,-0.12,-51.29,80.6,94,75,7.43,BR,1607543006
georgetown,5.41,100.34,80.6,83,20,4.7,MY,1607543280
ilulissat,69.22,-51.1,21.2,41,75,11.41,GL,1607543280
bredasdorp,-34.53,20.04,64.4,82,100,2.24,ZA,1607543280
esperance,-33.87,121.9,60.8,77,100,16.11,AU,1607543280
cabo san lucas,22.89,-109.91,84.0,45,75,8.05,MX,1607543280
quiroga,19.67,-101.53,69.01,48,9,1.01,MX,1607543281
hermanus,-34.42,19.23,62.01,91,62,1.83,ZA,1607543281
bluff,-46.6,168.33,57.99,91,100,6.93,NZ,1607543281
la baule-escoublac,47.29,-2.36,48.0,93,100,11.41,FR,1607543281
east london,-33.02,27.91,71.01,79,91,8.46,ZA,1607543281
miri,4.41,114.01,77.0,94,40,3.36,MY,1607543281
aksarayskiy,46.79,48.01,14.0,85,0,2.24,RU,1607543281
rikitea,-23.12,-134.97,77.45,77,0,16.53,PF,1607543002
cherskiy,68.75,161.3,-11.63,87,28,4.5,RU,1607543282
flin flon,54.77,-101.86,32.0,96,20,8.05,CA,1607543282
hithadhoo,-0.6,73.08,82.04,69,100,6.78,MV,1607543282
hambantota,6.12,81.12,77.0,100,20,6.93,LK,1607543282
sitka,57.05,-135.33,37.4,86,40,4.7,US,1607543283
